Condition	Freqs	Knowledge	log_RTs	Idiom	Subject	LP	Transparency
Fig	2.26	5	6.3261494732	iets van tafel vegen	3	4.73	3.38
Lit	2.15	5	6.1820849067	iets van tafel vegen	3	4.73	3.38
Fig	3.28	7	6.0913098821	met de rug tegen de muur staan	3	4.81818	3.24
Lit	2.65	7	6.1092475828	met de rug tegen de muur staan	3	4.81818	3.24
Lit	1.95	4	6.1984787165	op het puntje van de tong liggen	3	3.05	3.52
Fig	3.51	4	6.163314804	op het puntje van de tong liggen	3	3.05	3.52
Lit	2.07	6	6.3261494732	op zijn achterste benen staan	3	2.86	2.62
Fig	2.55	6	6.0913098821	op zijn achterste benen staan	3	2.86	2.62
Lit	3.05	7	6.280395839	op zijn centen zitten	3	4.68	3.71
Fig	2.23	7	5.9914645471	op zijn centen zitten	3	4.68	3.71
Fig	3.36	7	6.0913098821	voor aap staan	3	2.045454545	3.22
Lit	2.76	7	6.163314804	voor aap staan	3	2.045454545	3.22
Fig	3.02	7	5.9506425526	voor iemand door het vuur gaan	3	3.91	4.18
Lit	1.9	7	5.9053618481	voor iemand door het vuur gaan	3	3.91	4.18
Fig	2.49	6	6.4118182677	één lijn trekken	4	4.73	2.88
Lit	2.43	6	6.2146080984	één lijn trekken	4	4.73	2.88
Fig	2.25	6	6.2324480166	aan een zijden draadje hangen	4	3.73	3.14
Lit	2.47	6	6.1290502101	aan een zijden draadje hangen	4	3.73	3.14
Fig	3.45	6	6.6093492432	aan het roer staan	4	4.73	4.6
Lit	3.7	6	6.0913098821	aan het roer staan	4	4.73	4.6
Lit	2.96	5	6.2146080984	als paddenstoelen uit de grond schieten	4	2.27	3.29
Fig	2.66	5	6.013715156	als paddenstoelen uit de grond schieten	4	2.27	3.29
Fig	2.28	5	6.2146080984	de koe bij de hoorns vatten	4	4.05	3.17
Lit	3.04	5	5.9053618481	de koe bij de hoorns vatten	4	4.05	3.17
Fig	2.93	6	6.1820849067	ergens mee in de maag zitten	4	2.86	2.95
Fig	2.13	6	6.1820849067	ergens zijn neus voor optrekken	4	4.23	3.33
Lit	2.22	6	6.2324480166	ergens zijn neus voor optrekken	4	4.23	3.33
Fig	3.58	7	6.7452363495	het niet breed hebben	4	1.95	3.24
Lit	2.42	7	6.551080335	het niet breed hebben	4	1.95	3.24
Fig	3.81	6	6.4769723629	iemand aan de tand voelen	4	4.45	2.83
Fig	2.73	6	6.2480428745	iemand de wet voorschrijven	4	3.68	3.67
Lit	2.75	6	6.1463292577	iemand de wet voorschrijven	4	3.68	3.67
Fig	1.81	6	6.4248690239	iemand iets in de schoenen schuiven	4	4.05	3.09
Fig	2.68	6	6.1092475828	iemand op de huid zitten	4	3.05	3.38
Lit	2.6	6	6.6200732065	iemand op de huid zitten	4	3.05	3.38
Lit	2.14	7	6.1290502101	iemand tegen de schenen schoppen	4	4.73	3.71
Fig	2.7	7	6.4520489544	iemand tegen de schenen schoppen	4	4.73	3.71
Lit	2.7	3	6.5147126909	iemand wakker schudden	4	4.77	3.43
Fig	3.81	3	6.280395839	iemand wakker schudden	4	4.77	3.43
Lit	2.1	6	6.1463292577	iemand/iets tot in de wolken verheffen	4	1.82	3.75
Fig	2.68	6	6.1290502101	iemand/iets tot in de wolken verheffen	4	1.82	3.75
Lit	1.93	6	6.5279579176	iets op poten zetten	4	4	3.38
Fig	2.39	6	6.2633982626	iets op poten zetten	4	4	3.38
Lit	2.55	7	6.3543700408	iets uit de losse pols doen	4	2.27	3.13
Fig	2.53	7	6.5395859556	iets uit de losse pols doen	4	2.27	3.13
Fig	2.81	7	6.4769723629	iets uit je duim zuigen	4	1.95	3.21
Lit	2.4	7	6.4645883037	iets uit je duim zuigen	4	1.95	3.21
Fig	2.26	5	6.2952660014	iets van tafel vegen	4	4.73	3.38
Lit	2.15	5	6.0913098821	iets van tafel vegen	4	4.73	3.38
Fig	3.28	7	6.1820849067	met de rug tegen de muur staan	4	4.81818	3.24
Lit	2.65	7	6.2324480166	met de rug tegen de muur staan	4	4.81818	3.24
Lit	1.95	7	6.3543700408	op het puntje van de tong liggen	4	3.05	3.52
Fig	3.51	7	6.5027900459	op het puntje van de tong liggen	4	3.05	3.52
Lit	2.07	6	6.3835066349	op zijn achterste benen staan	4	2.86	2.62
Fig	2.55	6	5.9712618398	op zijn achterste benen staan	4	2.86	2.62
Lit	3.05	7	6.2952660014	op zijn centen zitten	4	4.68	3.71
Fig	2.23	7	6.4769723629	op zijn centen zitten	4	4.68	3.71
Fig	3.36	7	6.3261494732	voor aap staan	4	2.045454545	3.22
Lit	2.76	7	6.4645883037	voor aap staan	4	2.045454545	3.22
Fig	3.02	7	6.1092475828	voor iemand door het vuur gaan	4	3.91	4.18
Lit	1.9	7	6.2633982626	voor iemand door het vuur gaan	4	3.91	4.18
Fig	2.49	4	6.907755279	één lijn trekken	5	4.73	2.88
Lit	2.43	4	6.3403593037	één lijn trekken	5	4.73	2.88
Fig	2.25	6	6.5147126909	aan een zijden draadje hangen	5	3.73	3.14
Lit	2.47	6	6.3099182782	aan een zijden draadje hangen	5	3.73	3.14
Fig	3.45	6	6.907755279	aan het roer staan	5	4.73	4.6
Lit	3.7	6	6.0520891689	aan het roer staan	5	4.73	4.6
Lit	2.96	7	6.6528630294	als paddenstoelen uit de grond schieten	5	2.27	3.29
Fig	2.66	7	6.2952660014	als paddenstoelen uit de grond schieten	5	2.27	3.29
Fig	2.28	1	6.1820849067	de koe bij de hoorns vatten	5	4.05	3.17
Lit	3.04	1	6.4645883037	de koe bij de hoorns vatten	5	4.05	3.17
Fig	2.93	6	6.2633982626	ergens mee in de maag zitten	5	2.86	2.95
Fig	2.13	7	6.7742238864	ergens zijn neus voor optrekken	5	4.23	3.33
Lit	2.22	7	6.1984787165	ergens zijn neus voor optrekken	5	4.23	3.33
Fig	3.58	7	6.4645883037	het niet breed hebben	5	1.95	3.24
Lit	2.42	7	6.7153833863	het niet breed hebben	5	1.95	3.24
Fig	3.81	3	6.4118182677	iemand aan de tand voelen	5	4.45	2.83
Fig	2.73	6	6.4118182677	iemand de wet voorschrijven	5	3.68	3.67
Lit	2.75	6	6.5750758406	iemand de wet voorschrijven	5	3.68	3.67
Fig	1.81	5	6.3099182782	iemand iets in de schoenen schuiven	5	4.05	3.09
Fig	2.68	6	6.4645883037	iemand op de huid zitten	5	3.05	3.38
Lit	2.6	6	6.907755279	iemand op de huid zitten	5	3.05	3.38
Lit	2.14	7	6.7357800142	iemand tegen de schenen schoppen	5	4.73	3.71
Fig	2.7	7	6.6093492432	iemand tegen de schenen schoppen	5	4.73	3.71
Lit	2.7	5	6.8023947633	iemand wakker schudden	5	4.77	3.43
Fig	3.81	5	6.4769723629	iemand wakker schudden	5	4.77	3.43
Lit	2.1	6	6.1984787165	iemand/iets tot in de wolken verheffen	5	1.82	3.75
Fig	2.68	6	6.1290502101	iemand/iets tot in de wolken verheffen	5	1.82	3.75
Lit	1.93	6	6.6424868014	iets op poten zetten	5	4	3.38
Fig	2.39	6	6.280395839	iets op poten zetten	5	4	3.38
Lit	2.55	4	6.907755279	iets uit de losse pols doen	5	2.27	3.13
Fig	2.53	4	6.7844570626	iets uit de losse pols doen	5	2.27	3.13
Fig	2.81	7	6.6200732065	iets uit je duim zuigen	5	1.95	3.21
Lit	2.4	7	6.4520489544	iets uit je duim zuigen	5	1.95	3.21
Fig	2.26	4	6.6320017774	iets van tafel vegen	5	4.73	3.38
Lit	2.15	4	6.551080335	iets van tafel vegen	5	4.73	3.38
Fig	3.28	7	6.9411900551	met de rug tegen de muur staan	5	4.81818	3.24
Lit	2.65	7	6.163314804	met de rug tegen de muur staan	5	4.81818	3.24
Lit	1.95	7	6.3699009828	op het puntje van de tong liggen	5	3.05	3.52
Fig	3.51	7	6.013715156	op het puntje van de tong liggen	5	3.05	3.52
Lit	2.07	4	6.7650389768	op zijn achterste benen staan	5	2.86	2.62
Fig	2.55	4	6.4248690239	op zijn achterste benen staan	5	2.86	2.62
Lit	3.05	7	6.5985090286	op zijn centen zitten	5	4.68	3.71
Fig	2.23	7	6.8480052746	op zijn centen zitten	5	4.68	3.71
Fig	3.36	7	6.4645883037	voor aap staan	5	2.045454545	3.22
Lit	2.76	7	6.5147126909	voor aap staan	5	2.045454545	3.22
Fig	3.02	7	6.280395839	voor iemand door het vuur gaan	5	3.91	4.18
Lit	1.9	7	6.7452363495	voor iemand door het vuur gaan	5	3.91	4.18
Fig	2.49	4	6.1092475828	één lijn trekken	6	4.73	2.88
Lit	2.43	4	6.5861716549	één lijn trekken	6	4.73	2.88
Fig	2.25	7	6.3699009828	aan een zijden draadje hangen	6	3.73	3.14
Lit	2.47	7	6.3543700408	aan een zijden draadje hangen	6	3.73	3.14
Fig	3.45	7	5.926926026	aan het roer staan	6	4.73	4.6
Lit	3.7	7	5.811140993	aan het roer staan	6	4.73	4.6
Lit	2.96	7	6.280395839	als paddenstoelen uit de grond schieten	6	2.27	3.29
Fig	2.66	7	5.9053618481	als paddenstoelen uit de grond schieten	6	2.27	3.29
Fig	2.28	6	5.9914645471	de koe bij de hoorns vatten	6	4.05	3.17
Lit	3.04	6	5.9914645471	de koe bij de hoorns vatten	6	4.05	3.17
Fig	2.93	6	6.0520891689	ergens mee in de maag zitten	6	2.86	2.95
Fig	2.13	4	6.280395839	ergens zijn neus voor optrekken	6	4.23	3.33
Lit	2.22	4	5.926926026	ergens zijn neus voor optrekken	6	4.23	3.33
Fig	3.58	7	6.2324480166	het niet breed hebben	6	1.95	3.24
Lit	2.42	7	6.2480428745	het niet breed hebben	6	1.95	3.24
Fig	3.81	6	5.730099783	iemand aan de tand voelen	6	4.45	2.83
Fig	2.73	6	6.1820849067	iemand de wet voorschrijven	6	3.68	3.67
Lit	2.75	6	6.1820849067	iemand de wet voorschrijven	6	3.68	3.67
Fig	1.81	6	5.9506425526	iemand iets in de schoenen schuiven	6	4.05	3.09
Fig	2.68	5	5.926926026	iemand op de huid zitten	6	3.05	3.38
Lit	2.6	5	6.280395839	iemand op de huid zitten	6	3.05	3.38
Lit	2.14	7	6.3835066349	iemand tegen de schenen schoppen	6	4.73	3.71
Fig	2.7	7	6.4248690239	iemand tegen de schenen schoppen	6	4.73	3.71
Lit	2.7	3	6.0330862218	iemand wakker schudden	6	4.77	3.43
Fig	3.81	3	5.9506425526	iemand wakker schudden	6	4.77	3.43
Lit	2.1	6	6.1290502101	iemand/iets tot in de wolken verheffen	6	1.82	3.75
Fig	2.68	6	6.1984787165	iemand/iets tot in de wolken verheffen	6	1.82	3.75
Lit	1.93	6	6.3261494732	iets op poten zetten	6	4	3.38
Fig	2.39	6	5.9712618398	iets op poten zetten	6	4	3.38
Lit	2.55	4	6.3099182782	iets uit de losse pols doen	6	2.27	3.13
Fig	2.53	4	6.1290502101	iets uit de losse pols doen	6	2.27	3.13
Fig	2.81	7	5.926926026	iets uit je duim zuigen	6	1.95	3.21
Lit	2.4	7	5.926926026	iets uit je duim zuigen	6	1.95	3.21
Fig	2.26	4	6.280395839	iets van tafel vegen	6	4.73	3.38
Lit	2.15	4	5.926926026	iets van tafel vegen	6	4.73	3.38
Fig	3.28	7	5.9914645471	met de rug tegen de muur staan	6	4.81818	3.24
Lit	2.65	7	6.3261494732	met de rug tegen de muur staan	6	4.81818	3.24
Lit	1.95	7	5.8805329864	op het puntje van de tong liggen	6	3.05	3.52
Fig	3.51	7	5.9914645471	op het puntje van de tong liggen	6	3.05	3.52
Lit	2.07	5	6.1463292577	op zijn achterste benen staan	6	2.86	2.62
Fig	2.55	5	5.9914645471	op zijn achterste benen staan	6	2.86	2.62
Lit	3.05	7	6.2480428745	op zijn centen zitten	6	4.68	3.71
Fig	2.23	7	6.0730445341	op zijn centen zitten	6	4.68	3.71
Fig	3.36	7	5.9914645471	voor aap staan	6	2.045454545	3.22
Lit	2.76	7	5.9914645471	voor aap staan	6	2.045454545	3.22
Fig	3.02	6	6.0520891689	voor iemand door het vuur gaan	6	3.91	4.18
Lit	1.9	6	5.9712618398	voor iemand door het vuur gaan	6	3.91	4.18
Fig	2.49	1	6.0520891689	één lijn trekken	7	4.73	2.88
Lit	2.43	1	6.070737728	één lijn trekken	7	4.73	2.88
Fig	2.25	5	6.0330862218	aan een zijden draadje hangen	7	3.73	3.14
Lit	2.47	5	6.1984787165	aan een zijden draadje hangen	7	3.73	3.14
Fig	3.45	6	6.0730445341	aan het roer staan	7	4.73	4.6
Lit	3.7	6	5.9053618481	aan het roer staan	7	4.73	4.6
Lit	2.96	5	6.2633982626	als paddenstoelen uit de grond schieten	7	2.27	3.29
Fig	2.66	5	6.1984787165	als paddenstoelen uit de grond schieten	7	2.27	3.29
Fig	2.28	6	5.8579331545	de koe bij de hoorns vatten	7	4.05	3.17
Lit	3.04	6	6.0330862218	de koe bij de hoorns vatten	7	4.05	3.17
Fig	2.93	6	5.9712618398	ergens mee in de maag zitten	7	2.86	2.95
Fig	2.13	7	5.8348107371	ergens zijn neus voor optrekken	7	4.23	3.33
Lit	2.22	7	6.1463292577	ergens zijn neus voor optrekken	7	4.23	3.33
Fig	3.58	7	6.1984787165	het niet breed hebben	7	1.95	3.24
Lit	2.42	7	6.1984787165	het niet breed hebben	7	1.95	3.24
Fig	3.81	6	5.8579331545	iemand aan de tand voelen	7	4.45	2.83
Fig	2.73	6	6.0330862218	iemand de wet voorschrijven	7	3.68	3.67
Lit	2.75	6	5.9712618398	iemand de wet voorschrijven	7	3.68	3.67
Fig	1.81	4	6.0520891689	iemand iets in de schoenen schuiven	7	4.05	3.09
Fig	2.68	6	6.163314804	iemand op de huid zitten	7	3.05	3.38
Lit	2.6	6	5.8579331545	iemand op de huid zitten	7	3.05	3.38
Lit	2.14	7	5.9914645471	iemand tegen de schenen schoppen	7	4.73	3.71
Fig	2.7	7	6.1820849067	iemand tegen de schenen schoppen	7	4.73	3.71
Lit	2.7	3	6.0330862218	iemand wakker schudden	7	4.77	3.43
Fig	3.81	3	6.2633982626	iemand wakker schudden	7	4.77	3.43
Lit	2.1	7	6.3835066349	iemand/iets tot in de wolken verheffen	7	1.82	3.75
Fig	2.68	7	6.0520891689	iemand/iets tot in de wolken verheffen	7	1.82	3.75
Lit	1.93	7	6.0112671744	iets op poten zetten	7	4	3.38
Fig	2.39	7	5.8833223885	iets op poten zetten	7	4	3.38
Lit	2.55	4	6.013715156	iets uit de losse pols doen	7	2.27	3.13
Fig	2.53	4	6.0913098821	iets uit de losse pols doen	7	2.27	3.13
Fig	2.81	7	6.163314804	iets uit je duim zuigen	7	1.95	3.21
Lit	2.4	7	5.9914645471	iets uit je duim zuigen	7	1.95	3.21
Fig	2.26	5	6.1092475828	iets van tafel vegen	7	4.73	3.38
Lit	2.15	5	5.9712618398	iets van tafel vegen	7	4.73	3.38
Fig	3.28	7	5.811140993	met de rug tegen de muur staan	7	4.81818	3.24
Lit	2.65	7	5.9914645471	met de rug tegen de muur staan	7	4.81818	3.24
Lit	1.95	7	6.0730445341	op het puntje van de tong liggen	7	3.05	3.52
Fig	3.51	7	6.0730445341	op het puntje van de tong liggen	7	3.05	3.52
Lit	2.07	2	6.1820849067	op zijn achterste benen staan	7	2.86	2.62
Fig	2.55	2	6.2146080984	op zijn achterste benen staan	7	2.86	2.62
Lit	3.05	7	6.0330862218	op zijn centen zitten	7	4.68	3.71
Fig	2.23	7	6.163314804	op zijn centen zitten	7	4.68	3.71
Fig	3.36	7	6.3543700408	voor aap staan	7	2.045454545	3.22
Lit	2.76	7	6.0913098821	voor aap staan	7	2.045454545	3.22
Fig	3.02	7	6.1092475828	voor iemand door het vuur gaan	7	3.91	4.18
Lit	1.9	7	6.0913098821	voor iemand door het vuur gaan	7	3.91	4.18
Fig	2.49	6	6.3543700408	één lijn trekken	8	4.73	2.88
Lit	2.43	6	6.5750758406	één lijn trekken	8	4.73	2.88
Fig	2.25	6	6.3099182782	aan een zijden draadje hangen	8	3.73	3.14
Lit	2.47	6	6.3261494732	aan een zijden draadje hangen	8	3.73	3.14
Fig	3.45	7	6.2324480166	aan het roer staan	8	4.73	4.6
Lit	3.7	7	6.3969296552	aan het roer staan	8	4.73	4.6
Lit	2.96	1	6.4248690239	als paddenstoelen uit de grond schieten	8	2.27	3.29
Fig	2.66	1	6.5027900459	als paddenstoelen uit de grond schieten	8	2.27	3.29
Fig	2.28	6	6.280395839	de koe bij de hoorns vatten	8	4.05	3.17
Lit	3.04	6	6.280395839	de koe bij de hoorns vatten	8	4.05	3.17
Fig	2.93	5	6.2633982626	ergens mee in de maag zitten	8	2.86	2.95
Fig	2.13	5	6.6846117277	ergens zijn neus voor optrekken	8	4.23	3.33
Lit	2.22	5	6.3099182782	ergens zijn neus voor optrekken	8	4.23	3.33
Fig	3.58	7	6.3543700408	het niet breed hebben	8	1.95	3.24
Lit	2.42	7	6.6200732065	het niet breed hebben	8	1.95	3.24
Fig	3.81	6	6.1290502101	iemand aan de tand voelen	8	4.45	2.83
Fig	2.73	6	6.3969296552	iemand de wet voorschrijven	8	3.68	3.67
Lit	2.75	6	6.3261494732	iemand de wet voorschrijven	8	3.68	3.67
Fig	1.81	6	6.6846117277	iemand iets in de schoenen schuiven	8	4.05	3.09
Fig	2.68	5	6.7934661326	iemand op de huid zitten	8	3.05	3.38
Lit	2.6	5	6.2324480166	iemand op de huid zitten	8	3.05	3.38
Lit	2.14	7	6.3099182782	iemand tegen de schenen schoppen	8	4.73	3.71
Fig	2.7	7	6.4645883037	iemand tegen de schenen schoppen	8	4.73	3.71
Lit	2.7	1	6.5750758406	iemand wakker schudden	8	4.77	3.43
Fig	3.81	1	6.4377516497	iemand wakker schudden	8	4.77	3.43
Lit	2.1	7	6.4769723629	iemand/iets tot in de wolken verheffen	8	1.82	3.75
Fig	2.68	7	6.1984787165	iemand/iets tot in de wolken verheffen	8	1.82	3.75
Lit	1.93	1	6.5279579176	iets op poten zetten	8	4	3.38
Fig	2.39	1	6.3261494732	iets op poten zetten	8	4	3.38
Lit	2.55	6	6.5750758406	iets uit de losse pols doen	8	2.27	3.13
Fig	2.53	6	6.4645883037	iets uit de losse pols doen	8	2.27	3.13
Fig	2.81	7	6.5279579176	iets uit je duim zuigen	8	1.95	3.21
Lit	2.4	7	6.4248690239	iets uit je duim zuigen	8	1.95	3.21
Fig	2.26	5	6.4377516497	iets van tafel vegen	8	4.73	3.38
Lit	2.15	5	6.3261494732	iets van tafel vegen	8	4.73	3.38
Fig	3.28	7	6.280395839	met de rug tegen de muur staan	8	4.81818	3.24
Lit	2.65	7	6.5027900459	met de rug tegen de muur staan	8	4.81818	3.24
Lit	1.95	6	6.2633982626	op het puntje van de tong liggen	8	3.05	3.52
Fig	3.51	6	6.2324480166	op het puntje van de tong liggen	8	3.05	3.52
Lit	2.07	1	6.4377516497	op zijn achterste benen staan	8	2.86	2.62
Fig	2.55	1	6.5395859556	op zijn achterste benen staan	8	2.86	2.62
Lit	3.05	1	6.4377516497	op zijn centen zitten	8	4.68	3.71
Fig	2.23	1	6.6846117277	op zijn centen zitten	8	4.68	3.71
Fig	3.36	7	6.5279579176	voor aap staan	8	2.045454545	3.22
Lit	2.76	7	6.4118182677	voor aap staan	8	2.045454545	3.22
Fig	3.02	7	6.4377516497	voor iemand door het vuur gaan	8	3.91	4.18
Lit	1.9	7	6.7056390949	voor iemand door het vuur gaan	8	3.91	4.18
Fig	2.49	4	6.2146080984	één lijn trekken	9	4.73	2.88
Lit	2.43	4	6.2146080984	één lijn trekken	9	4.73	2.88
Fig	2.25	6	6.5147126909	aan een zijden draadje hangen	9	3.73	3.14
Lit	2.47	6	6.2146080984	aan een zijden draadje hangen	9	3.73	3.14
Fig	3.45	7	5.9914645471	aan het roer staan	9	4.73	4.6
Lit	3.7	7	6.907755279	aan het roer staan	9	4.73	4.6
Lit	2.96	4	6.280395839	als paddenstoelen uit de grond schieten	9	2.27	3.29
Fig	2.66	4	6.5395859556	als paddenstoelen uit de grond schieten	9	2.27	3.29
Fig	2.28	6	6.2633982626	de koe bij de hoorns vatten	9	4.05	3.17
Lit	3.04	6	6.1092475828	de koe bij de hoorns vatten	9	4.05	3.17
Fig	2.93	6	6.1820849067	ergens mee in de maag zitten	9	2.86	2.95
Fig	2.13	4	6.3099182782	ergens zijn neus voor optrekken	9	4.23	3.33
Lit	2.22	4	6.280395839	ergens zijn neus voor optrekken	9	4.23	3.33
Fig	3.58	7	6.0913098821	het niet breed hebben	9	1.95	3.24
Lit	2.42	7	6.8211074723	het niet breed hebben	9	1.95	3.24
Fig	3.81	7	6.0520891689	iemand aan de tand voelen	9	4.45	2.83
Fig	2.73	6	6.0520891689	iemand de wet voorschrijven	9	3.68	3.67
Lit	2.75	6	6.013715156	iemand de wet voorschrijven	9	3.68	3.67
Fig	1.81	6	6.3969296552	iemand iets in de schoenen schuiven	9	4.05	3.09
Fig	2.68	6	6.2324480166	iemand op de huid zitten	9	3.05	3.38
Lit	2.6	6	6.1092475828	iemand op de huid zitten	9	3.05	3.38
Lit	2.14	7	5.9914645471	iemand tegen de schenen schoppen	9	4.73	3.71
Fig	2.7	7	6.2304814476	iemand tegen de schenen schoppen	9	4.73	3.71
Lit	2.7	5	6.1463292577	iemand wakker schudden	9	4.77	3.43
Fig	3.81	5	6.5861716549	iemand wakker schudden	9	4.77	3.43
Lit	2.1	7	6.1463292577	iemand/iets tot in de wolken verheffen	9	1.82	3.75
Fig	2.68	7	6.0913098821	iemand/iets tot in de wolken verheffen	9	1.82	3.75
Lit	1.93	7	6.1463292577	iets op poten zetten	9	4	3.38
